,playerId,shirtNo,name,position,isFirstEleven
0,92516,23,Alphonse Areola,GK,True
1,351127,15,Konstantinos Mavropanos,DC,True
2,322696,19,Edson Álvarez,DC,True
3,368310,26,Maximilian Kilman,DC,True
4,331924,29,Aaron Wan-Bissaka,DMR,True
5,101955,33,Emerson,DML,True
6,303876,24,Guido Rodríguez,MC,True
7,319756,10,Lucas Paquetá,MC,True
8,400166,14,Mohammed Kudus,FWR,True
9,322596,20,Jarrod Bowen,FW,True
10,382564,7,Crysencio Summerville,FWL,True
11,143595,28,Tomás Soucek,Sub,
12,69517,9,Michail Antonio,Sub,
13,313542,4,Carlos Soler,Sub,
14,68049,3,Aaron Cresswell,Sub,
15,451945,39,Andy Irving,Sub,
16,111372,5,Vladimír Coufal,Sub,
17,361710,25,Jean-Clair Todibo,Sub,
18,20973,1,Lukasz Fabianski,Sub,
19,91762,18,Danny Ings,Sub,
20,362151,1,Robert Sánchez,GK,True
21,373946,29,Wesley Fofana,DR,True
22,421351,6,Levi Colwill,DC,True
23,136464,4,Tosin Adarabioyo,DC,True
24,363496,3,Marc Cucurella,DL,True
25,369430,8,Enzo Fernández,DMC,True
26,410175,25,Moisés Caicedo,DMC,True
27,389935,11,Noni Madueke,AMR,True
28,395692,20,Cole Palmer,AMC,True
29,346300,19,Jadon Sancho,AML,True
30,426050,15,Nicolas Jackson,FW,True
31,300426,2,Axel Disasi,Sub,
32,300945,18,Christopher Nkunku,Sub,
33,337916,7,Pedro Neto,Sub,
34,362431,14,João Félix,Sub,
35,391256,22,Kiernan Dewsbury-Hall,Sub,
36,404749,12,Filip Jørgensen,Sub,
37,365406,5,Benoît Badiashile,Sub,
38,434077,40,Renato Veiga,Sub,
39,409376,10,Mykhailo Mudryk,Sub,
